name,eng,ger
lang,Language,Sprache
header_p,Sizing of battery storage systems,Auslegung von Batteriespeichern
efh_name,Single family house,Einfamilienhaus
location,Location,Standort
placeholder_location,ZIP-Code (Germany),Postleitzahl oder Adresse
building_type,Building type,Baustandard
building_size,Building size in sqm,Wohnraum in qm
usage,Consumption usage,Verbrauchskennzahlen
inhabitants,Inhabitants,Bewohneranzahl
energy_cons,Energy consumption in kWh,Stromverbrauch in kWh
mfh_name,Apartment house,Mehrfamilienhaus
industry_name,Industry,Industrie
tab_info_1,"The PIEG-Strom Webtool serves as an aid for the design of battery storage systems. After entering various parameters, statements are made about the economic efficiency and the most effective storage size.",Das PIEG-Strom Webtool dient zur Hilfe bei der Auslegung von Batteriespeichern. Nach Eingabe verschiedener Parametern werden Aussagen über die Wirtschaftlichkeit und die effektivste Speichergröße getroffen.
choose_building,Building selection:,Gebäudewahl:
choose_technology,Technology selection:,Technologiewahl:
increase_autarky,Increase autarky,Autarkiegrad optimieren
peak_shaving,Peak shaving,Lastspitzenkappung
economics,Economics,Ökonomie
pv,Photovoltaic,Fotovoltaik
chp,Combined heat and power,Krafwärmekopplung
hp,Heat pump,Wärmepumpe
gas,Gas heater,Gasheizung
bat,Battery,Batterie
hyd,H2-Storage,H2-Speicher
